assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,franchise_id
4,0,4,,0,19,0,Lyubushkin,0,6,8480950,2,4,0.21052,D,0,0,20232024,0,0,0.0,R,9,Ilya Lyubushkin,"ANA,TOR",1023.3157,5
4,0,4,,0,30,0,Lagesson,0,19,8478021,5,4,0.13333,D,0,0,20232024,0,0,0.0,L,12,William Lagesson,"TOR,ANA",870.8666,5
63,35,75,0.33333,5,82,47,Pastrnak,0,47,8477956,21,110,1.34146,R,12,35,20232024,0,0,0.12303,R,382,David Pastrnak,BOS,1195.7804,6
38,19,37,0.43636,6,82,29,Marchand,2,78,8473419,2,67,0.81707,L,7,26,20232024,3,4,0.14009,L,207,Brad Marchand,BOS,1146.1097,6
35,17,44,0.51591,5,82,25,Coyle,0,38,8475745,-2,60,0.7317,C,7,11,20232024,1,5,0.17006,R,147,Charlie Coyle,BOS,1083.9878,6
38,15,44,0.54775,6,78,21,Zacha,1,18,8478401,12,59,0.75641,C,6,15,20232024,0,0,0.14189,L,148,Pavel Zacha,BOS,1086.3974,6
35,11,34,,3,74,12,McAvoy,2,86,8479325,4,47,0.63513,D,1,13,20232024,0,0,0.09022,R,133,Charlie McAvoy,BOS,1490.7567,6
21,15,28,0.30434,3,80,19,DeBrusk,1,18,8478498,4,40,0.5,L,2,10,20232024,2,2,0.10382,L,183,Jake DeBrusk,BOS,1009.9375,6
22,16,38,0.4536,1,82,18,Frederic,0,69,8479365,9,40,0.4878,C,2,2,20232024,0,0,0.14634,L,123,Trent Frederic,BOS,825.3536,6
22,13,27,0.4409,1,76,17,Geekie,0,28,8479987,6,39,0.51315,C,4,12,20232024,0,0,0.13076,R,130,Morgan Geekie,BOS,924.5394,6
27,5,26,0.47619,3,71,11,van Riemsdyk,0,20,8474037,7,38,0.53521,L,6,12,20232024,0,0,0.07746,L,142,James van Riemsdyk,BOS,810.3661,6
19,15,34,0.38709,4,74,17,Heinen,0,28,8478046,16,36,0.48648,L,1,1,20232024,1,1,0.14285,L,119,Danton Heinen,BOS,867.9189,6
23,2,21,,0,73,3,Lindholm,0,63,8476854,18,26,0.35616,D,1,5,20232024,0,0,0.0303,L,99,Hampus Lindholm,BOS,1397.2191,6
18,4,13,,0,61,6,Shattenkirk,0,18,8474031,-2,24,0.39344,D,2,11,20232024,0,0,0.07692,R,78,Kevin Shattenkirk,BOS,946.8032,6
10,5,14,0.437,1,33,5,Poitras,0,6,8483505,4,15,0.45454,C,0,1,20232024,0,0,0.125,R,40,Matthew Poitras,BOS,803.7575,6
8,6,14,0.35664,1,47,6,Boqvist,1,8,8480003,12,14,0.29787,C,0,0,20232024,0,0,0.11764,L,51,Jesper Boqvist,BOS,669.0,6
10,4,14,,1,76,4,Carlo,0,42,8478443,23,14,0.18421,D,0,0,20232024,0,0,0.05063,R,79,Brandon Carlo,BOS,1194.2236,6
9,3,10,,1,41,4,Lohrei,0,18,8482511,-2,13,0.31707,D,1,3,20232024,0,0,0.09302,L,43,Mason Lohrei,BOS,1017.4634,6
9,2,11,,0,63,2,Grzelcyk,0,37,8476891,13,11,0.1746,D,0,0,20232024,0,0,0.03389,L,59,Matt Grzelcyk,BOS,1055.8571,6
3,7,10,0.546,1,52,7,Beecher,0,24,8481556,-6,10,0.1923,C,0,0,20232024,0,0,0.18421,L,38,John Beecher,BOS,637.423,6
8,2,10,0.4375,0,60,2,Lauko,0,32,8480880,-3,10,0.16666,C,0,0,20232024,0,0,0.04651,L,43,Jakub Lauko,BOS,589.25,6
8,0,8,,0,41,0,Wotherspoon,0,31,8478450,6,8,0.19512,D,0,0,20232024,0,0,0.0,L,32,Parker Wotherspoon,BOS,1063.317,6
2,3,5,0.3,1,19,5,Brazeau,0,2,8479638,4,7,0.36842,R,2,2,20232024,0,0,0.16129,R,31,Justin Brazeau,BOS,667.0526,6
4,0,4,,0,35,0,Forbort,0,17,8475762,8,4,0.11428,D,0,0,20232024,0,0,0.0,L,22,Derek Forbort,BOS,1067.6285,6
2,1,3,0.0,0,9,1,Richard,0,2,8478409,0,3,0.33333,C,0,0,20232024,0,0,0.16666,L,6,Anthony Richard,BOS,636.4444,6
2,0,2,,0,4,0,Lucic,0,2,8473473,-1,2,0.5,L,0,0,20232024,0,0,0.0,L,1,Milan Lucic,BOS,718.25,6
2,0,2,,0,13,0,Mitchell,0,10,8480070,6,2,0.15384,D,0,0,20232024,0,0,0.0,R,11,Ian Mitchell,BOS,918.4615,6
71,38,75,0.1,5,82,49,Panarin,1,24,8478550,18,120,1.46341,L,11,44,20232024,0,1,0.16171,R,303,Artemi Panarin,NYR,1207.1341,10
52,13,52,0.58733,5,82,25,Trocheck,1,55,8476389,16,77,0.93902,C,11,24,20232024,1,1,0.11627,R,215,Vincent Trocheck,NYR,1287.2804,10
36,19,41,0.36458,7,82,39,Kreider,1,26,8475184,19,75,0.91463,L,18,29,20232024,2,5,0.15853,L,246,Chris Kreider,NYR,1127.0121,10
56,10,38,,5,72,17,Fox,1,36,8479323,21,73,1.01388,D,6,33,20232024,1,2,0.12408,R,137,Adam Fox,NYR,1406.6111,10
46,12,35,0.4928,3,81,26,Zibanejad,2,30,8476459,15,72,0.88888,C,12,31,20232024,2,6,0.11764,R,221,Mika Zibanejad,NYR,1184.6296,10
29,26,51,0.25757,5,82,28,Lafrenière,1,40,8482109,2,57,0.69512,L,2,6,20232024,0,0,0.12903,L,217,Alexis Lafrenière,NYR,1036.0243,10
25,6,22,,1,76,6,Gustafsson,0,35,8476979,3,31,0.40789,D,0,9,20232024,0,0,0.06451,L,93,Erik Gustafsson,NYR,1043.5131,10
22,8,28,,3,80,8,Miller,1,49,8480817,5,30,0.375,D,0,1,20232024,0,1,0.08333,L,96,K'Andre Miller,NYR,1293.7375,10
13,13,26,0.3913,4,80,13,Vesey,0,20,8476918,-4,26,0.325,L,0,0,20232024,0,0,0.11206,L,116,Jimmy Vesey,NYR,742.6125,10
19,3,20,,0,69,3,Trouba,0,73,8476885,-4,22,0.31884,D,0,1,20232024,0,1,0.02325,R,129,Jacob Trouba,NYR,1274.7391,10
12,8,20,0.6129,1,54,9,Wheeler,0,23,8471218,2,21,0.38888,R,1,1,20232024,0,0,0.10843,R,83,Blake Wheeler,NYR,763.0555,10
8,12,19,0.2,2,81,13,Cuylle,0,56,8482157,-3,21,0.25925,L,1,2,20232024,0,0,0.10924,L,119,Will Cuylle,NYR,667.5308,10
13,5,17,0.50154,2,57,6,Brodzinski,0,8,8477380,-3,19,0.33333,C,1,2,20232024,0,0,0.06741,R,89,Jonny Brodzinski,NYR,667.6491,10
